iter	Passed	Remaining
1171	6495	48924
1172	6500	48915
1173	6506	48913
1174	6512	48915
1175	6519	48916
1176	6524	48912
1177	6531	48910
1178	6536	48901
1179	6541	48896
1180	6547	48890
1181	6553	48890
1182	6559	48885
1183	6564	48878
1184	6569	48872
1185	6575	48868
1186	6581	48864
1187	6586	48857
1188	6591	48849
1189	6594	48818
1190	6599	48810
1191	6604	48803
1192	6610	48799
1193	6616	48795
1194	6621	48790
1195	6626	48781
1196	6629	48751
1197	6634	48744
1198	6639	48737
1199	6642	48714
1200	6647	48705
1201	6652	48695
1202	6659	48696
1203	6664	48691
1204	6670	48688
1205	6674	48667
1206	6681	48675
1207	6687	48670
1208	6693	48667
1209	6695	48638
1210	6700	48632
1211	6705	48623
1212	6711	48615
1213	6716	48607
1214	6721	48603
1215	6727	48593
1216	6732	48588
1217	6738	48586
1218	6744	48580
1219	6749	48574
1220	6754	48568
1221	6760	48559
1222	6765	48552
1223	6770	48545
1224	6775	48536
1225	6781	48530
1226	6786	48522
1227	6792	48518
1228	6797	48511
1229	6803	48507
1230	6809	48507
1231	6815	48503
1232	6820	48496
1233	6825	48487
1234	6831	48480
1235	6836	48475
1236	6841	48466
1237	6846	48459
1238	6852	48454
1239	6857	48446
1240	6862	48438
1241	6868	48434
1242	6873	48427
1243	6879	48421
1244	6884	48413
1245	6890	48413
1246	6898	48419
1247	6904	48422
1248	6910	48419
1249	6917	48420
1250	6922	48415
1251	6928	48408
1252	6933	48402
1253	6938	48395
1254	6944	48391
1255	6950	48386
1256	6955	48380
1257	6961	48377
1258	6967	48376
1259	6973	48374
1260	6980	48374
1261	6985	48368
1262	6991	48363
1263	6996	48356
1264	7002	48351
1265	7008	48347
1266	7009	48315
1267	7015	48309
1268	7020	48304
1269	7026	48299
1270	7032	48296
1271	7037	48290
1272	7043	48285
1273	7046	48263
1274	7048	48235
1275	7053	48226
1276	7059	48220
1277	7064	48214
1278	7070	48207
1279	7075	48200
1280	7080	48195
1281	7086	48187
1282	7087	48155
1283	7093	48152
1284	7099	48149
1285	7101	48121
1286	7107	48118
1287	7110	48092
1288	7115	48088
1289	7117	48060
1290	7123	48051
1291	7128	48047
1292	7131	48025
1293	7137	48018
1294	7143	48016
1295	7148	48007
1296	7153	48003
1297	7159	47999
1298	7164	47991
1299	7170	47985
1300	7175	47980
1301	7178	47952
1302	7182	47943
1303	7189	47944
1304	7191	47913
1305	7196	47906
1306	7202	47903
1307	7208	47900
1308	7210	47872
1309	7215	47864
1310	7220	47858
1311	7226	47853
1312	7233	47860
1313	7240	47862
1314	7247	47864
1315	7250	47844
1316	7256	47844
1317	7259	47816
1318	7265	47814
1319	7270	47807
1320	7275	47801
1321	7280	47793
1322	7286	47789
1323	7288	47758
1324	7294	47759
1325	7300	47756
1326	7304	47737
1327	7310	47736
1328	7316	47736
1329	7323	47737
1330	7328	47734
1331	7331	47706
1332	7336	47702
1333	7342	47699
1334	7348	47693
1335	7353	47688
1336	7358	47681
1337	7360	47650
1338	7365	47644
1339	7371	47640
1340	7373	47611
